Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

0.00000000,0.00000000,1,0,1,1,0,1,0,1,1,1
0.01600000,0.00000000,1,0,1,1,0,1,0,1,1,1
0.03200000,0.00000000,1,0,1,1,0,1,0,1,1,1
0.04800000,0.00000000,1,0,1,1,0,1,0,1,1,1
0.06400000,-0.15748030,1,0,1,1,0,1,0,1,1,1
0.08000000,0.15748030,0,0,0,1,0,1,1,0,1,1
0.09600000,0.15748030,0,0,0,1,0,1,1,0,1,1
0.11200000,-0.15748030,0,0,0,1,0,1,1,0,1,1
0.12800000,0.15748030,0,0,0,1,0,1,1,0,1,1
0.14400000,-0.15748030,0,0,0,1,0,1,1,0,1,1
0.16000000,0.00000000,0,0,0,1,0,1,1,0,1,1
0.17600000,0.00000000,0,0,0,1,0,1,1,0,1,1
0.19199999,0.00000000,0,0,0,1,0,1,1,0,1,1
0.20799999,0.15748030,0,0,0,1,0,1,1,0,1,1
0.22399999,0.00000000,0,0,0,1,0,1,1,0,1,1
0.23999999,0.15748030,0,0,0,1,0,1,1,0,1,1
0.25599999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.27199999,0.15748030,0,0,0,1,0,1,1,0,1,0
0.28799999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.30399999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.31999999,0.15748030,0,0,0,1,0,1,1,0,1,0
0.33599999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.35199999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.36799999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.38399999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.39999999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.41599999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.43199999,0.00000000,0,0,0,1,0,1,1,0,1,0
0.44799999,0.00000000,0,0,0,1,0,1,1,0,1,0
